,CPD,description
0,cpd:C00001,H2O; Water
1,cpd:C00002,ATP; Adenosine 5'-triphosphate
2,cpd:C00003,NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+
3,cpd:C00004,NADH; DPNH; Reduced nicotinamide adenine dinucleotide
4,cpd:C00005,NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate
5,cpd:C00006,NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+
6,cpd:C00007,Oxygen; O2
7,cpd:C00008,ADP; Adenosine 5'-diphosphate
8,cpd:C00009,Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid
9,cpd:C00010,CoA; Coenzyme A; CoA-SH
10,cpd:C00011,CO2; Carbon dioxide
11,cpd:C00012,Peptide
12,cpd:C00013,Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi
13,cpd:C00014,Ammonia; NH3
14,cpd:C00015,UDP; Uridine 5'-diphosphate
15,cpd:C00016,FAD; Flavin adenine dinucleotide
16,cpd:C00017,Protein
17,cpd:C00018,Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; PLP
18,cpd:C00019,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
19,cpd:C00020,AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate
20,cpd:C00021,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
21,cpd:C00022,Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid
22,cpd:C00023,Iron
23,cpd:C00024,Acetyl-CoA; Acetyl coenzyme A
24,cpd:C00025,L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
25,cpd:C00026,2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid
26,cpd:C00027,Hydrogen peroxide; H2O2; Oxydol
27,cpd:C00028,Acceptor; Hydrogen-acceptor; A; Oxidized donor
28,cpd:C00029,UDP-glucose; UDPglucose; UDP-D-glucose; Uridine diphosphate glucose; UDP-alpha-D-glucose
29,cpd:C00030,Reduced acceptor; AH2; Hydrogen-donor; Donor
30,cpd:C00031,D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose
31,cpd:C00032,Heme; Haem; Protoheme; Heme B; Protoheme IX
32,cpd:C00033,Acetate; Acetic acid; Ethanoic acid
33,cpd:C00034,Manganese
34,cpd:C00035,GDP; Guanosine 5'-diphosphate; Guanosine diphosphate
35,cpd:C00036,Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate
36,cpd:C00037,Glycine; Aminoacetic acid; Gly
37,cpd:C00038,Zinc cation; Zn2+; Zn(II); Zinc ion
38,cpd:C00039,DNA; DNAn; DNAn+1; (Deoxyribonucleotide)n; (Deoxyribonucleotide)m; (Deoxyribonucleotide)n+m; Deoxyribonucleic acid
39,cpd:C00040,Acyl-CoA; Acyl coenzyme A
40,cpd:C00041,L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine
41,cpd:C00042,Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid
42,cpd:C00043,UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine
43,cpd:C00044,GTP; Guanosine 5'-triphosphate
44,cpd:C00045,Amino acid; Amino acids
45,cpd:C00046,RNA; RNAn; RNAn+1; RNA(linear); (Ribonucleotide)n; (Ribonucleotide)m; (Ribonucleotide)n+m; Ribonucleic acid
46,cpd:C00047,"L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid"
47,cpd:C00048,Glyoxylate; Glyoxalate; Glyoxylic acid
48,cpd:C00049,L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp
49,cpd:C00050,Metal
50,cpd:C00051,Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
51,cpd:C00052,UDP-alpha-D-galactose; UDP-D-galactose; UDP-galactose; UDP-D-galactopyranose; UDP-alpha-D-galactopyranose
52,cpd:C00053,3'-Phosphoadenylyl sulfate; 3'-Phosphoadenosine 5'-phosphosulfate; 3'-Phospho-5'-adenylyl sulfate; PAPS
53,cpd:C00054,"Adenosine 3',5'-bisphosphate; PAP; 3'-Phosphoadenylate; Phosphoadenosine phosphate"
54,cpd:C00055,CMP; Cytidine-5'-monophosphate; Cytidylic acid
55,cpd:C00058,Formate; Methanoic acid; Formic acid
56,cpd:C00059,Sulfate; Sulfuric acid
57,cpd:C00060,Carboxylate; R-COOH; Monocarboxylate; Carboxylic acid
58,cpd:C00061,FMN; Riboflavin-5-phosphate; Flavin mononucleotide
59,cpd:C00062,L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg
60,cpd:C00063,CTP; Cytidine 5'-triphosphate; Cytidine triphosphate
61,cpd:C00064,L-Glutamine; L-2-Aminoglutaramic acid
62,cpd:C00065,L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine
63,cpd:C00066,tRNA; tRNA(n); tRNA(n+1); transfer RNA
