entry,product,reacts,PubChem,SMILES,Mol,Fingerprint,dist,enzyme_class_1,enzyme_class_2,enzyme_class_3,enzyme_class_4,enzyme_class_5,enzyme_class_6,enzyme_class_7,n_C,n_H,n_O,n_N,n_P,n_S,n_X,DoU,MW
1.8.99.5,C00094,1.0,3394,OS(=O)O,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8a210>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b89df0>,0.0,1,0,0,0,0,0,0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,82.07999999999998
1.13.11.18,C00094,1.0,3394,OS(=O)O,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8a580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8ad50>,0.511007185391218,1,0,0,0,0,0,0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,82.07999999999998
1.8.99.5,C00283,1.0,3578,S,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8ac10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8a670>,0.0,1,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,34.083
2.8.1.2,C00283,1.0,3578,S,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8a2b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8aa30>,0.24166666666666667,0,1,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,34.083
4.4.1.28,C00283,1.0,3578,S,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8a120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8a350>,0.29460521217016034,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,34.083
3.13.1.5,C00283,1.0,3578,S,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8a3a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8a530>,0.0,0,0,1,0,0,0,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,34.083
4.4.1.2,C00283,1.0,3578,S,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8a1c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8ad00>,0.25084787420169335,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,34.083
1.4.1.13,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8ab20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8a030>,0.5373340777752542,1,0,0,0,0,0,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
6.3.5.4,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8acb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8a170>,0.6188391102967374,0,0,0,0,0,1,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
6.3.5.2,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8ada0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8a490>,0.5341917059439644,0,0,0,0,0,1,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
6.3.5.5,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8ae90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8a5d0>,0.3501625647948138,0,0,0,0,0,1,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
2.6.1.52,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8af30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8ac60>,0.43161480148965553,0,1,0,0,0,0,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
3.5.1.38,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8ae40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1ac9b8af80>,0.5702421425308033,0,0,1,0,0,0,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
4.3.3.6,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8aee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b0d0>,0.4391575509996562,0,0,0,1,0,0,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
6.3.4.2,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8abc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b030>,0.5172098496522838,0,0,0,0,0,1,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
4.3.2.10,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x1ac9b8adf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b080>,0.4462983651562367,0,0,0,1,0,0,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
4.2.1.168,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef9b2b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b170>,0.4650233570881704,0,0,0,1,0,0,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
1.4.7.1,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef9b350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b210>,0.5373340777752542,1,0,0,0,0,0,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
2.6.1.114,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef9b3f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b120>,0.453781512605042,0,1,0,0,0,0,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
