,ec_number,enzyme_name,product_cpd,dblinks,product_formula,product_mass,product_name,pubchem_id
0,1.1.1.1,"['alcohol dehydrogenase', 'aldehyde reductase', 'ADH', 'alcohol dehydrogenase (NAD)', 'aliphatic alcohol dehydrogenase', 'ethanol dehydrogenase', 'NAD-dependent alcohol dehydrogenase', 'NAD-specific aromatic alcohol dehydrogenase', 'NADH-alcohol dehydrogenase', 'NADH-aldehyde dehydrogenase', 'primary alcohol dehydrogenase', 'yeast alcohol dehydrogenase']",C00071,"[('PubChem', ['3371']), ('ChEBI', ['17478'])]",CHOR,,"['Aldehyde', 'RCHO']",3371
1,3.3.2.2,"['lysoplasmalogenase', 'alkenylglycerophosphocholine hydrolase', 'alkenylglycerophosphoethanolamine hydrolase', '1-(1-alkenyl)-sn-glycero-3-phosphocholine aldehydohydrolase']",C00071,"[('PubChem', ['3371']), ('ChEBI', ['17478'])]",CHOR,,"['Aldehyde', 'RCHO']",3371
2,1.1.1.1,"['alcohol dehydrogenase', 'aldehyde reductase', 'ADH', 'alcohol dehydrogenase (NAD)', 'aliphatic alcohol dehydrogenase', 'ethanol dehydrogenase', 'NAD-dependent alcohol dehydrogenase', 'NAD-specific aromatic alcohol dehydrogenase', 'NADH-alcohol dehydrogenase', 'NADH-aldehyde dehydrogenase', 'primary alcohol dehydrogenase', 'yeast alcohol dehydrogenase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
3,1.1.1.38,"['malate dehydrogenase (oxaloacetate-decarboxylating)', ""'malic' enzyme (ambiguous)"", 'pyruvic-malic carboxylase (ambiguous)', 'NAD+-specific malic enzyme', 'NAD+-malic enzyme', 'NAD+-linked malic enzyme']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
4,1.1.1.85,"['3-isopropylmalate dehydrogenase', 'beta-isopropylmalic enzyme', 'beta-isopropylmalate dehydrogenase', 'threo-Ds-3-isopropylmalate dehydrogenase', '3-carboxy-2-hydroxy-4-methylpentanoate:NAD+ oxidoreductase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
5,1.1.1.110,"['aromatic 2-oxoacid reductase', '(R)-aromatic lactate dehydrogenase', '(R)-4-hydroxyphenyllactate dehydrogenase', 'indolelactate:NAD+ oxidoreductase', 'indolelactate dehydrogenase', 'fldH (gene name)', '(indol-3-yl)lactate:NAD+ oxidoreductase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
6,1.1.1.187,"['GDP-4-dehydro-D-rhamnose reductase', 'GDP-4-keto-6-deoxy-D-mannose reductase', 'GDP-4-keto-D-rhamnose reductase', 'guanosine diphosphate-4-keto-D-rhamnose reductase', 'GDP-6-deoxy-D-mannose:NAD(P)+ 4-oxidoreductase', 'GDP-6-deoxy-alpha-D-mannose:NAD(P)+ 4-oxidoreductase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
7,1.1.1.203,"['uronate dehydrogenase', 'uronate:NAD-oxidoreductase', 'uronic acid dehydrogenase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
8,1.1.1.237,"['hydroxyphenylpyruvate reductase', 'HPPR']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
9,1.1.1.282,"['quinate/shikimate dehydrogenase', 'YdiB']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
10,1.1.1.286,"['isocitrate---homoisocitrate dehydrogenase', 'homoisocitrate---isocitrate dehydrogenase', 'PH1722']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
11,1.1.1.297,"['limonene-1,2-diol dehydrogenase', 'NAD+-dependent limonene-1,2-diol dehydrogenase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
12,1.1.1.352,"[""5'-hydroxyaverantin dehydrogenase"", 'HAVN dehydrogenase', 'adhA (gene name)']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
