,entry,KEGG,PubChem,CID,SMILES
0,1.1.1.1,C00071,3371,none,none
2,1.1.1.1,C00226,3526,none,none
3,1.1.1.1,C01450,4627,none,none
4,1.1.1.1,C01612,4764,none,none
5,1.1.1.110,C03964,6685,440177,C1=CC(=CC=C1C[C@H](C(=O)O)O)O
7,1.1.1.110,C00331,3625,803,C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O
8,1.1.1.110,C01179,4406,979,C1=CC(=CC=C1CC(=O)C(=O)O)O
11,1.1.1.110,C05607,7930,643327,C1=CC=C(C=C1)C[C@H](C(=O)O)O
16,1.1.1.153,C02953,5871,135398687,C[C@@H]([C@@H](C1=NC2=C(NC1)N=C(NC2=O)N)O)O
14,1.1.1.153,C00835,4093,135398579,C[C@@H](C(=O)C1=NC2=C(NC1)N=C(NC2=O)N)O
12,1.1.1.153,C03684,6459,135398695,CC(=O)C(=O)C1CNC2=C(N1)C(=O)NC(=N2)N
17,1.1.1.153,C00272,3570,135398654,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O
18,1.1.1.187,C02977,5888,135398688,C[C@@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
19,1.1.1.187,C03117,6011,135398578,C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
20,1.1.1.187,C01222,4444,135398621,C[C@@H]1C(=O)[C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O
23,1.1.1.203,C20890,254741353,46926211,[C@@H]1([C@@H]([C@H](OC(=O)[C@@H]1O)C(=O)O)O)O
22,1.1.1.203,C20889,254741352,53321658,[C@@H]1([C@H]([C@H](OC(=O)[C@@H]1O)C(=O)O)O)O
6,1.1.1.237,C03964,6685,440177,C1=CC(=CC=C1C[C@H](C(=O)O)O)O
9,1.1.1.237,C01179,4406,979,C1=CC(=CC=C1CC(=O)C(=O)O)O
24,1.1.1.237,C04045,6746,165198,C1=CC(=C(C=C1CC(=O)C(=O)O)O)O
33,1.1.1.276,C06735,8957,363,C(C=O)N
26,1.1.1.276,C11822,13986,443424,C(=O)[C@@H](C(=O)O)N
28,1.1.1.276,C00065,3365,5951,C([C@@H](C(=O)O)N)O
36,1.1.1.282,C00296,3590,6508,C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O
37,1.1.1.282,C02637,5617,439774,C1[C@H]([C@@H](C(=O)C=C1C(=O)O)O)O
38,1.1.1.282,C00944,4196,439351,C1[C@H]([C@@H](C(=O)C[C@]1(C(=O)O)O)O)O
35,1.1.1.282,C00493,3776,8742,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O
39,1.1.1.286,C00026,3328,51,C(CC(=O)O)C(=O)C(=O)O
58,1.1.1.286,C05662,7972,5460287,C(CC(=O)O)[C@@H]([C@H](C(=O)O)O)C(=O)O
60,1.1.1.286,C00311,3605,1198,C(C(C(C(=O)O)O)C(=O)O)C(=O)O
57,1.1.1.286,C00322,3616,71,C(CC(=O)C(=O)O)CC(=O)O
64,1.1.1.287,C00309,3603,439203,C1[C@H]([C@H](C(O1)(CO)O)O)O
63,1.1.1.287,C01904,5013,94154,C([C@H](C([C@@H](CO)O)O)O)O
65,1.1.1.287,C00310,3604,439204,C1[C@H]([C@@H](C(O1)(CO)O)O)O
69,1.1.1.297,C11937,14098,443522,CC(=C)[C@@H]1CC[C@](C(=O)C1)(C)O
66,1.1.1.297,C19082,124489754,11217495,CC(=C)[C@H]1CC[C@@]([C@@H](C1)O)(C)O
70,1.1.1.297,C18020,96024240,94217,CC(=C)C1CCC(C(C1)O)(C)O
71,1.1.1.297,C07276,9485,441246,CC(=C)[C@@H]1CC[C@]([C@H](C1)O)(C)O
67,1.1.1.297,C18019,96024239,262800,CC(=C)C1CCC(C(=O)C1)(C)O
72,1.1.1.324,C17622,96023966,11073781,C/C(=C\C=O)/CC/C=C(\C)/C=O
73,1.1.1.324,C20223,163311966,11412603,C/C(=C\CO)/CC/C=C(\C)/C=O
74,1.1.1.324,C17621,96023965,5363397,C/C(=C\CO)/CC/C=C(\C)/CO
75,1.1.1.324,C20222,163311965,13895495,C/C(=C\C=O)/CC/C=C(\C)/CO
13,1.1.1.325,C03684,6459,135398695,CC(=O)C(=O)C1CNC2=C(N1)C(=O)NC(=N2)N
15,1.1.1.325,C00835,4093,135398579,C[C@@H](C(=O)C1=NC2=C(NC1)N=C(NC2=O)N)O
76,1.1.1.325,C20264,163312004,135474330,C[C@@H]([C@H](C1CNC2=C(N1)C(=O)NC(=N2)N)O)O
77,1.1.1.325,C20263,163312003,135407943,C[C@@H]([C@H](C1=NC2=C(NC1)N=C(NC2=O)N)O)O
78,1.1.1.352,C20502,172232251,25202155,CC(=O)CCC[C@@H](C1=C(C=C2C(=C1O)C(=O)C3=C(C=C(C=C3C2=O)O)O)O)O
79,1.1.1.352,C20500,172232249,25203397,C[C@@H](CCC[C@@H](C1=C(C=C2C(=C1O)C(=O)C3=C(C=C(C=C3C2=O)O)O)O)O)O
81,1.1.1.352,C20501,172232250,25201116,C[C@H](CCC[C@@H](C1=C(C=C2C(=C1O)C(=O)C3=C(C=C(C=C3C2=O)O)O)O)O)O
