,entry,reaction,product
0,1.1.1.1,"['(1) a primary alcohol + NAD+ = an aldehyde + NADH + H+ [RN:R00623]', '(2) a secondary alcohol + NAD+ = a ketone + NADH + H+ [RN:R00624]']","['aldehyde [CPD:C00071]', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', 'ketone [CPD:C01450]', 'primary alcohol [CPD:C00226]', 'NAD+ [CPD:C00003]', 'secondary alcohol [CPD:C01612]']"
1,1.1.1.38,"['(1) (S)-malate + NAD+ = pyruvate + CO2 + NADH [RN:R00214]', '(2) oxaloacetate = pyruvate + CO2 [RN:R00217]']","['pyruvate [CPD:C00022]', 'CO2 [CPD:C00011]', 'NADH [CPD:C00004]', '(S)-malate [CPD:C00149]', 'NAD+ [CPD:C00003]', 'oxaloacetate [CPD:C00036]']"
2,1.1.1.40,"['(1) (S)-malate + NADP+ = pyruvate + CO2 + NADPH [RN:R00216]', '(2) oxaloacetate = pyruvate + CO2 [RN:R00217]']","['pyruvate [CPD:C00022]', 'CO2 [CPD:C00011]', 'NADPH [CPD:C00005]', '(S)-malate [CPD:C00149]', 'NADP+ [CPD:C00006]', 'oxaloacetate [CPD:C00036]']"
3,1.1.1.42,"['isocitrate + NADP+ = 2-oxoglutarate + CO2 + NADPH + H+ (overall reaction) [RN:R00267]', '(1a) isocitrate + NADP+ = oxalosuccinate + NADPH + H+ [RN:R01899]', '(1b) oxalosuccinate = 2-oxoglutarate + CO2 [RN:R00268]']","['2-oxoglutarate [CPD:C00026]', 'CO2 [CPD:C00011]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', 'oxalosuccinate [CPD:C05379]', 'isocitrate [CPD:C00311]', 'NADP+ [CPD:C00006]', 'oxalosuccinate [CPD:C05379]']"
4,1.1.1.85,"['(2R,3S)-3-isopropylmalate + NAD+ = 4-methyl-2-oxopentanoate + CO2 + NADH + H+ (overall reaction) [RN:R10052]', '(1a) (2R,3S)-3-isopropylmalate + NAD+ = (2S)-2-isopropyl-3-oxosuccinate + NADH + H+ [RN:R04426]', '(1b) (2S)-2-isopropyl-3-oxosuccinate = 4-methyl-2-oxopentanoate + CO2 (spontaneous) [RN:R01652]']","['4-methyl-2-oxopentanoate [CPD:C00233]', 'CO2 [CPD:C00011]', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', '(2S)-2-isopropyl-3-oxosuccinate [CPD:C04236]', '(2R,3S)-3-isopropylmalate [CPD:C04411]', 'NAD+ [CPD:C00003]', '(2S)-2-isopropyl-3-oxosuccinate [CPD:C04236]']"
5,1.1.1.110,"['(1) (R)-3-(phenyl)lactate + NAD+ = 3-phenylpyruvate + NADH + H+ [RN:R01370]', '(2) (R)-3-(4-hydroxyphenyl)lactate + NAD+ = 3-(4-hydroxyphenyl)pyruvate + NADH + H+ [RN:R03337]', '(3) (R)-(indol-3-yl)lactate + NAD+ = (indol-3-yl)pyruvate + NADH + H+ [RN:R12256]']","['3-phenylpyruvate', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', '3-(4-hydroxyphenyl)pyruvate [CPD:C01179]', '(indol-3-yl)pyruvate [CPD:C00331]', '(R)-3-(phenyl)lactate [CPD:C05607]', 'NAD+ [CPD:C00003]', '(R)-3-(4-hydroxyphenyl)lactate [CPD:C03964]', '(R)-(indol-3-yl)lactate [CPD:C22006]']"
6,1.1.1.153,"['(1) L-erythro-7,8-dihydrobiopterin + NADP+ = sepiapterin + NADPH + H+ [RN:R02975]', '(2) L-erythro-tetrahydrobiopterin + 2 NADP+ = 6-pyruvoyl-5,6,7,8-tetrahydropterin + 2 NADPH + 2 H+ [RN:R08208]']","['sepiapterin [CPD:C00835]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', '6-pyruvoyl-5,6,7,8-tetrahydropterin [CPD:C03684]', 'L-erythro-7,8-dihydrobiopterin [CPD:C02953]', 'NADP+ [CPD:C00006]', 'L-erythro-tetrahydrobiopterin [CPD:C00272]']"
7,1.1.1.187,"['(1) GDP-alpha-D-rhamnose + NAD(P)+ = GDP-4-dehydro-alpha-D-rhamnose + NAD(P)H + H+ [RN:R03397 R03399]', '(2) GDP-6-deoxy-alpha-D-talose + NAD(P)+ = GDP-4-dehydro-alpha-D-rhamnose + NAD(P)H + H+ [RN:R03396 R03398]']","['GDP-4-dehydro-alpha-D-rhamnose [CPD:C01222]', 'NADH [CPD:C00004]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', 'GDP-alpha-D-rhamnose [CPD:C03117]', 'NAD+ [CPD:C00003]', 'NADP+ [CPD:C00006]', 'GDP-6-deoxy-alpha-D-talose [CPD:C02977]']"
8,1.1.1.203,"['(1) beta-D-galacturonate + NAD+ = D-galactaro-1,5-lactone + NADH + H+ [RN:R10841]', '(2) beta-D-glucuronate + NAD+ = D-glucaro-1,5-lactone + NADH + H+ [RN:R10842]']","['D-galactaro-1,5-lactone [CPD:C20889]', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', 'D-glucaro-1,5-lactone [CPD:C20890]', 'beta-D-galacturonate', 'NAD+ [CPD:C00003]', 'beta-D-glucuronate']"
9,1.1.1.237,"['(1) (R)-3-(4-hydroxyphenyl)lactate + NAD(P)+ = 3-(4-hydroxyphenyl)pyruvate + NAD(P)H + H+ [RN:R03337 R03339]', '(2) (R)-3-(3,4-dihydroxyphenyl)lactate + NAD(P)+ = 3-(3,4-dihydroxyphenyl)pyruvate + NAD(P)H + H+ [RN:R03373 R12252]']","['3-(4-hydroxyphenyl)pyruvate [CPD:C01179]', 'NADH [CPD:C00004]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', '3-(3,4-dihydroxyphenyl)pyruvate [CPD:C04045]', '(R)-3-(4-hydroxyphenyl)lactate [CPD:C03964]', 'NAD+ [CPD:C00003]', 'NADP+ [CPD:C00006]', '(R)-3-(3,4-dihydroxyphenyl)lactate [CPD:C22038]']"
10,1.1.1.276,"['L-serine + NADP+ = 2-aminoacetaldehyde + CO2 + NADPH + H+ (overall reaction) [RN:R10984]', '(1a) L-serine + NADP+ = 2-aminomalonate semialdehyde + NADPH + H+ [RN:R06126]', '(1b) 2-aminomalonate semialdehyde = 2-aminoacetaldehyde + CO2 (spontaneous) [RN:R06830]']","['2-aminoacetaldehyde [CPD:C06735]', 'CO2 [CPD:C00011]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', '2-aminomalonate semialdehyde [CPD:C11822]', 'L-serine [CPD:C00065]', 'NADP+ [CPD:C00006]', '2-aminomalonate semialdehyde [CPD:C11822]']"
11,1.1.1.282,"['(1) L-quinate + NAD(P)+ = 3-dehydroquinate + NAD(P)H + H+ [RN:R01872 R06846]', '(2) shikimate + NAD(P)+ = 3-dehydroshikimate + NAD(P)H + H+ [RN:R02413 R06847]']","['3-dehydroquinate [CPD:C00944]', 'NADH [CPD:C00004]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', '3-dehydroshikimate [CPD:C02637]', 'L-quinate [CPD:C00296]', 'NAD+ [CPD:C00003]', 'NADP+ [CPD:C00006]', 'shikimate [CPD:C00493]']"
12,1.1.1.286,"['(1) isocitrate + NAD+ = 2-oxoglutarate + CO2 + NADH [RN:R00709]', '(2) (1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate + NAD+ = 2-oxoadipate + CO2 + NADH + H+ [RN:R01934]']","['2-oxoglutarate [CPD:C00026]', 'CO2 [CPD:C00011]', 'NADH [CPD:C00004]', '2-oxoadipate [CPD:C00322]', 'H+ [CPD:C00080]', 'isocitrate [CPD:C00311]', 'NAD+ [CPD:C00003]', '(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate [CPD:C05662]']"
13,1.1.1.287,"['(1) D-arabinitol + NADP+ = D-xylulose + NADPH + H+ [RN:R07143]', '(2) D-arabinitol + NADP+ = D-ribulose + NADPH + H+ [RN:R07144]']","['D-xylulose [CPD:C00310]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', 'D-ribulose [CPD:C00309]', 'D-arabinitol [CPD:C01904]', 'NADP+ [CPD:C00006]']"
14,1.1.1.297,"['menth-8-ene-1,2-diol + NAD+ = 1-hydroxymenth-8-en-2-one + NADH + H+ (general reaction) [RN:R08919]', '(1) (1S,2S,4R)-menth-8-ene-1,2-diol + NAD+ = (1S,4R)-1-hydroxymenth-8-en-2-one + NADH + H+ [RN:R06399]', '(2) (1R,2R,4S)-menth-8-ene-1,2-diol + NAD+ = (1R,4S)-1-hydroxymenth-8-en-2-one + NADH + H+ [RN:R09388]']","['1-hydroxymenth-8-en-2-one [CPD:C18019]', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', '(1S,4R)-1-hydroxymenth-8-en-2-one [CPD:C11937]', '(1R,4S)-1-hydroxymenth-8-en-2-one', 'menth-8-ene-1,2-diol [CPD:C18020]', 'NAD+ [CPD:C00003]', '(1S,2S,4R)-menth-8-ene-1,2-diol [CPD:C07276]', '(1R,2R,4S)-menth-8-ene-1,2-diol [CPD:C19082]']"
15,1.1.1.324,"['(6E)-8-hydroxygeraniol + 2 NADP+ = (6E)-8-oxogeranial + 2 NADPH + 2 H+ (overall reaction) [RN:R08499]', '(1a) (6E)-8-hydroxygeraniol + NADP+ = (6E)-8-hydroxygeranial + NADPH + H+ [RN:R09926]', '(1b) (6E)-8-hydroxygeraniol + NADP+ = (6E)-8-oxogeraniol + NADPH + H+  [RN:R09927]', '(1c) (6E)-8-hydroxygeranial + NADP+ = (6E)-8-oxogeranial + NADPH + H+  [RN:R09928]', '(1d) (6E)-8-oxogeraniol + NADP+ = (6E)-8-oxogeranial + NADPH + H+ [RN:R09929]']","['(6E)-8-oxogeranial [CPD:C17622]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', '(6E)-8-hydroxygeranial [CPD:C20222]', '(6E)-8-oxogeraniol [CPD:C20223]', '(6E)-8-hydroxygeraniol [CPD:C17621]', 'NADP+ [CPD:C00006]', '(6E)-8-hydroxygeranial [CPD:C20222]', '(6E)-8-oxogeraniol [CPD:C20223]']"
16,1.1.1.325,"['(1) L-threo-7,8-dihydrobiopterin + NADP+ = sepiapterin + NADPH + H+ [RN:R09989]', '(2) L-threo-tetrahydrobiopterin + 2 NADP+ = 6-pyruvoyl-5,6,7,8-tetrahydropterin + 2 NADPH + 2 H+ [RN:R09990]']","['sepiapterin [CPD:C00835]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', '6-pyruvoyl-5,6,7,8-tetrahydropterin [CPD:C03684]', 'L-threo-7,8-dihydrobiopterin [CPD:C20263]', 'NADP+ [CPD:C00006]', 'L-threo-tetrahydrobiopterin [CPD:C20264]']"
