,UNIQUE-ID,COMMON-NAME,ENZYME,REACTION,ALTERNATIVE-SUBSTRATES
0,ENZRXN-15384,maleylacetate reductase,MONOMER-14207,['MALEYLACETATE-REDUCTASE-RXN'],N/A
1,ENZRXN-26017,neurosporene &beta;-cyclase,MONOMER-20355,['RXN-8038'],N/A
2,ENZRXN-18089,&beta;-<i>N</i>-acetylhexosaminidase,CPLX-8130,['3.2.1.52-RXN'],N/A
3,ENZRXN-19053,cellulase,MONOMER-16501,['RXN-2043'],"['(CELLULOSE |Lichenin|)', '(CELLULOSE |Xyloglucan|)', '(CELLULOSE CPD-13207)', '(CELLULOSE |Carboxymethylcellulose|)']"
4,ENZRXN-952,IPP isomerase,YPL117C-MONOMER,['IPPISOM-RXN'],N/A
5,ENZRXN-1323,2-oxoglutarate reductase,CPLX-1043,['KETOGLUTREDUCT-RXN'],N/A
6,ENZRXN-26146,icotinate-nucleotide--benzimidazole phosphoribosyltransferase,MONOMER-20428,['RXN-19306'],N/A
7,ENZRXN3O-1016,homoisocitrate hydro-lyase,YDR234W-MONOMER,['HOMOACONITATE-HYDRATASE-RXN'],N/A
8,ENZRXN-19202,"dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose <i>N,N</i>-dimethyltransferase",CPLX-8299,['RXN-17384'],N/A
9,ENZRXN0-2523,acetate:cation symporter,CPLX0-7955,['RXN0-1981'],N/A
10,ENZRXN-13374,phosphoribosyl-AMP cyclohydrolase,AT1G31860-MONOMER,['HISTCYCLOHYD-RXN'],N/A
11,ENZRXN-21660,cyanidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent),MONOMER-17996,['RXN-14432'],N/A
12,ENZRXN0-4263,serine protease,CPLX0-2881,['3.4.21.53-RXN'],N/A
13,ENZRXN-19469,all-trans-retinyl-ester hydrolase,CPLX-8346,['RXN-12575'],N/A
14,ENZRXN-21804,4-<i>O</i>-demethyl-L-noviosyl transferase,MONOMER-18054,['RXN-14544'],N/A
15,TRANS-ENZRXN-56B,L-tryptophan:H<sup>+</sup> symporter,AROP-MONOMER,['TRANS-RXN-76'],N/A
16,ENZRXN-19649,cholest-4-en-3-one 1-dehydrogenase,G185E-7814-MONOMER,['RXN-12690'],N/A
17,ENZRXN3O-976,acyl-CoA cholesterol acyltransferase,YCR048W-MONOMER,['STEROL-O-ACYLTRANSFERASE-RXN'],N/A
18,ENZRXN66-1420,hydroxypyruvate oxidoreductase,CPLX66-474,['HYDROXYPYRUVATE-REDUCTASE-RXN'],N/A
19,ENZRXN-24012,phytanate &omega;-hydroxylase,G185E-6483-MONOMER,['RXN-16847'],N/A
20,ENZRXN-24146,"<i>N</i>-3-fumaroyl-(S)-2,3-diaminopropanoate aminotransferase",MONOMER-19477,['RXN-16985'],N/A
21,ENZRXN-22051,sucrose phosphate phosphatase,CPLX-8727,['SUCROSE-PHOSPHATASE-RXN'],N/A
22,ENZRXN-22193,dihydroquercetin 4-reductase,MONOMER-18263,['RXN-600'],N/A
23,CPM-KDOSYNTH-ENZRXN,3-deoxy-<i>manno</i>-octulosonate cytidylyltransferase,CPM-KDOSYNTH-MONOMER,['CPM-KDOSYNTH-RXN'],N/A
24,ENZRXN-10308,sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase,MONOMER-10168,['2.3.1.103-RXN'],N/A
25,ENZRXN-15666,"1,2,3-trichlorobenzene dihydrodiol dehydrogenase",MONOMER-14401,['RXN-9882'],N/A
26,ENZRXN-15815,sphingolipid 8-desaturase,MONOMER-14475,['RXN-16374'],N/A
27,ENZRXN-13462,&alpha;-linolenate:O<sub>2</sub> 9<i>S</i>-oxidoreductase,MONOMER-12726,['RXN-8497'],N/A
28,ENZRXN-13603,&alpha;-copaene synthase,AG5-MONOMER,['RXN-8416'],N/A
29,ENZRXN-18339,L-sorbitol dehydrogenase,MONOMER-16000,['RXN-11826'],N/A
30,ENZRXN-18500,phosphoenolpyruvate phosphomutase,MONOMER-16098,['PHOSPHOENOLPYRUVATE-MUTASE-RXN'],N/A
31,ENZRXN-16142,histamine <i>N</i>-methyltransferase,HS07674-MONOMER,['HISTAMINE-N-METHYLTRANSFERASE-RXN'],N/A
32,ENZRXN-16375,indole-3-acetyl-valine synthetase,AT5G54510-MONOMER,['RXN-9083'],['(INDOLE_ACETATE_AUXIN CPD-10507)']
33,ENZRXN-26387,<i>S</i>-(1-hydroxyhexan-3-yl)-L-cysteine &beta;-lyase,YGL184C-MONOMER,['RXN-19550'],N/A
34,ENZRXN66-2250,nucleoside diphosphate kinase,CPLX66-1052,['NUCLEOSIDE-DIP-KIN-RXN'],N/A
35,ENZRXN-24392,C34-phenolphthiotriol methyltransferase,G185E-7206-MONOMER,['RXN-17233'],N/A
36,ENZRXN-26518,glucose-6-phosphate dehydrogenase (NAD<small><sup>+</sup></small>),CPLX-9304,['RXN-16652'],N/A
37,ENZRXN0-6330,D-gluconate transporter,GNTU-MONOMER,['TRANS-RXN0-209'],N/A
38,ENZRXN-24534,lithocholoyl-CoA 3-dehydrogenase,CPLX-9059,['RXN-17404'],N/A
39,ENZRXN-26762,(4S)-limonene dehydrogenase,CPLX-9348,['RXN-20138'],N/A
40,ENZRXN0-6582,undecaprenyl-phosphate-&alpha;-L-Ara4N flippase,CPLX0-7720,['TRANS-RXN0-276'],N/A
41,ENZRXN-19933,glucose-1-phosphate thymidylyltransferase,MONOMER-17088,['DTDPGLUCOSEPP-RXN'],N/A
42,ENZRXN-3163,taurine dehydrogenase,CPLX-2582,['TAURINE-DEHYDROGENASE-RXN'],N/A
43,ENZRXN66-19700,kynurenine aminotransferase,CPLX-7119,['RXN-10721'],N/A
44,ENZRXN-20084,4-hydroxyphenylacetate hydrolase,MONOMER-17199,['RXN-13126'],N/A
45,ENZRXN0-7548,GTPase,EG12104-MONOMER,['RXN0-5462'],N/A
46,ENZRXN0-7722,4-nitrophenyl phosphate phosphatase,ALKAPHOSPHA-CPLX,['4-NITROPHENYLPHOSPHATASE-RXN'],N/A
47,ENZRXN-22448,"dTDP-3,4-didehydro-2,6-dideoxy-&alpha;-D-glucose aminotransferase",MONOMER-18439,['RXN-15233'],['(GLT L-ALPHA-ALANINE)']
48,ENZRXN-22598,"pelargonidin 3-<i>O</i>-glucoside 6""-<i>O</i>-malonyltransferase",MONOMER-18525,['RXN-7834'],N/A
49,ENZRXN-20346,<i>N</i>-carbamoylputrescine amidohydrolase,MONOMER-17350,['N-CARBAMOYLPUTRESCINE-AMIDASE-RXN'],N/A
50,ENZRXN-20484,chanoclavine-I dehydrogenase,CPLX-8490,['RXN-13468'],N/A
51,ENZRXN-13868,aspartate aminotransferase,MONOMER-13012,['ASPAMINOTRANS-RXN'],['(L-ASPARTATE 3-SULFINOALANINE)']
52,ENZRXN-14015,uroporphyrin-III (<i>C</i><sup>7</sup>)-methyltransferase,CPLX-303,['RXN-8675'],N/A
53,ENZRXN-16680,hydroxyneurosporene methyltransferase,MONOMER-14933,['RXN-10668'],N/A
54,ENZRXN-16822,hexaketide pyrone synthase,MONOMER-15025,['RXN-10794'],N/A
55,ENZRXN66-4774,4-galactosyl-<em>N</em>-acetylglucosaminide 3-&alpha;-<small>L</small>-fucosyltransferase,HS10520-MONOMER,['GALACTOSIDE-3-FUCOSYLTRANSFERASE-RXN'],N/A
56,ENZRXN66-6237,Aldo-keto reductase family 1 member C1,HS10741-MONOMER,['1.1.1.149-RXN'],N/A
57,ENZRXN-24786,anthocyanidin reductase,MONOMER-19867,['RXN-10693'],N/A
58,ENZRXN0-8313,&gamma;-glutamyltranspeptidase,CPLX0-7885,['RXN-18092'],N/A
59,ENZRXN-22855,chelerythrine reductase,MONOMER-13854,['RXN-15543'],N/A
60,ENZRXN-24950,N-terminal L-methionine <i>N</i><sub>&alpha;</sub>-acetyltransferase,ENSG00000121579-MONOMER,['RXN-17867'],N/A
61,ENZRXN-14257,dihydroneopterin triphosphate pyrophosphohydrolase,MONOMER-13396,['H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN'],N/A
62,ENZRXN-22992,dihydroneopterin aldolase,MONOMER-18793,['H2NEOPTERINALDOL-RXN'],N/A
63,ENZRXN-17079,myo-inositol-1-phosphate monophosphatase,CPLX-7936,['RXN0-5408'],"['(D-MYO-INOSITOL-1-MONOPHOSPHATE INOSITOL-1-4-BISPHOSPHATE)', '(D-MYO-INOSITOL-1-MONOPHOSPHATE CPD-3705)']"
64,ENZRXN-14433,"(<i>E</i>,<i>E</i>)-&alpha;-farnesene synthase",MONOMER-13539,['RXN-8574'],N/A
65,ENZRXN-448,adenosyl-cobalamin synthase,MONOMER-144,['COBALAMINSYN-RXN'],N/A
66,ENZRXN-17221,putrescine <i>N</i>-hydroxylase,MONOMER-15212,['RXN-11006'],N/A
67,ENZRXN-25196,carboxymethylcollulase,MONOMER-20062,['RXN-18108'],N/A
68,ENZRXNQT-4512,NADP+-dependent isocitrate dehydrogenase,AT1G65930-MONOMER,['ISOCITDEH-RXN'],N/A
69,ENZRXN0-8106,peptidoglycan lytic endotransglycosylase,G6622-MONOMER,['RXN-17392'],N/A
70,ENZRXN-5341,trimethylsulfonium-tetrahydrofolate methyltransferase,MONOMER-5201,['2.1.1.19-RXN'],N/A
71,ENZRXN-644,"2,3-dihydroxy-2,3-dihydro-<I>p</I>-cumate dehydrogenase",MONOMER-348,['RXN-665'],N/A
72,ENZRXN-25338,"ganglioside GD3 &beta;-1,4 <i>N</i>-acetylgalactosaminyltransferase",HS06011-MONOMER,['RXN-18274'],N/A
