,UNIQUE-ID,ERXN-NUMBER,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
0,RXN-12314,['ENZRXN-19061'],N/A,"['CPD-7557', 'Red-NADPH-Hemoprotein-Reductases', 'OXYGEN-MOLECULE']","['CPD-13248', 'Ox-NADPH-Hemoprotein-Reductases', 'WATER', 'PROTON']",-108.40886
1,RXN-16877,['ENZRXN-24025'],N/A,['Cys-Cys-HlmE'],['4N-2mthio-5oxo-3Spyrrolidine-2-COOH-HlmE'],-29.53003
2,PORPHOBILSYNTH-RXN,"['PORPHOBILSYNTH-ENZRXN', 'ENZRXN66-1464', 'ENZRXN-14115', 'ENZRXN-11916']",['EC-4.2.1.24'],['5-AMINO-LEVULINATE'],"['PROTON', 'WATER', 'PORPHOBILINOGEN']",-33.708138
3,RXN-9204,['ENZRXN-14772'],['EC-2.5.1.74'],"['CPD-21340', 'DIHYDROXYNAPHTHOATE', 'PROTON']","['CPD-12118', 'PPI', 'CARBON-DIOXIDE']",-16.385834
4,RXN-9516,"['ENZRXN-15226', 'ENZRXN3O-10296', 'ENZRXN1G-511', 'ENZRXN-15211']","['EC-2.3.1.179', 'EC-2.3.1.41']","['Butanoyl-ACPs', 'MALONYL-ACP', 'PROTON']","['3-oxo-hexanoyl-ACPs', 'CARBON-DIOXIDE', 'ACP']",-6.862854
5,RXN-20002,N/A,N/A,"['ENTEROBACTIN', 'FE+3']","['FERRIC-ENTEROBACTIN-COMPLEX', 'PROTON']",-29.63234
6,RXN-14284,['ENZRXN0-7678'],['EC-2.4.1.1'],"['MALTOPENTAOSE', 'Pi']","['MALTOTETRAOSE', 'GLC-1-P']",-10.329956
7,RXN-10660,['ENZRXN-16661'],['EC-4.2.1.59'],['3-hydroxy-cis-D9-hexaecenoyl-ACPs'],"['Trans-D3-cis-D9-hexadecenoyl-ACPs', 'WATER']",22.705242
8,RXN-12798,['ENZRXN-19789'],N/A,"['Poly-Gamma-D-Glutamate', 'GLT', 'ATP']","['Poly-Gamma-D-Glutamate', 'ADP', 'Pi']",38.10034
9,2-FUROATE--COA-LIGASE-RXN,['ENZRXN-20049'],['EC-6.2.1.31'],"['CO-A', '2-FUROATE', 'ATP']","['CPD-73', 'PPI', 'AMP']",-12.711792
10,RXN-16758,N/A,N/A,"['ALLYSINE', 'Holo-LYS2-peptidyl-carrier-protein', 'NADP']","['2-Aminoadipyl-LYS2', 'NADPH', 'PROTON']",-100.416565
11,DHDOGALDOL-RXN,"['ENZRXN0-7471', 'ENZRXN-5043', 'ENZRXN-5021']",['EC-4.1.2.51'],['2-DEHYDRO-3-DEOXY-D-GLUCONATE'],"['GLYCERALD', 'PYRUVATE']",2.6399994
12,RXN-9748,"['ENZRXN-15423', 'ENZRXN-15422', 'ENZRXN-15421', 'ENZRXN-15420', 'ENZRXN-15419', 'ENZRXN-15418']",['EC-2.4.1'],"['CPD-12575', 'CPD-10457']","['CPD-10460', 'UDP', 'PROTON']",6.897644
13,RXN-8133,['ENZRXN-12872'],['EC-2.1.1.253'],"['Methylated-MtqC-Proteins', 'CoM']","['Me-CoM', 'MtqC-Proteins', 'PROTON']",30.793365
14,RXN-17245,"['ENZRXN-24437', 'ENZRXN-24435']",['EC-1.1.1.M10'],"['Phthiodiolones', 'NADP']","['Phthiodiolenones', 'NADPH', 'PROTON']",32.605774
15,RXN-14746,N/A,['EC-1.14.14.14'],"['ANDROST4ENE', 'Red-NADPH-Hemoprotein-Reductases', 'OXYGEN-MOLECULE']","['ESTRONE', 'Ox-NADPH-Hemoprotein-Reductases', 'WATER', 'FORMATE', 'PROTON']",-285.94537
16,RXN-10022,['ENZRXN-16023'],['EC-2.3.1.184'],"['S-ADENOSYLMETHIONINE', '3-oxo-hexanoyl-ACPs']","['ACP', '5-METHYLTHIOADENOSINE', 'CPD-10780', 'PROTON']",78.72893
17,GUANOSINE-DIPHOSPHATASE-RXN,"['ENZRXN0-6214', 'ENZRXN-21414']",['EC-3.6.1.42'],"['GDP', 'WATER']","['PROTON', 'GMP', 'Pi']",-6.8129883
18,RXN-17690,['ENZRXN-24795'],['EC-1.10.3.16'],"['CPD-19105', 'OXYGEN-MOLECULE']","['CPD-19106', 'HYDROGEN-PEROXIDE']",-37.02998
19,RXN-16693,['ENZRXN-23878'],['EC-6.3.2'],"['CPD-17994', 'SER', 'ATP']","['CPD-17993', 'ACP', 'AMP', 'PPI', 'PROTON']",229.24109
20,RXN-10100,['ENZRXN-16151'],['EC-5.5.1.7'],['CPD-18475'],"['CPD-10852', 'PROTON']",12.761757
21,RXN-4731,"['ENZRXN-6391', 'ENZRXN-6384']",['EC-2.4.1'],"['CPD-12575', 'CPD-4609']","['PROTON', 'CPD-4610', 'UDP']",4.5176086
